  Name       Age  
 Alexander    50
 Griffith     66
 McTell       49
 Staines      33     
 Bell         45
 Grosvenor    51
 MacLeod      30
 Stewart      36    
 Bell         23
 Ian          57
 McNeil       28
 Stewart      25    
 Bok          28
 Jansch       40
 McNeil       31
 Thames       29    
 Clancy       67
 Keelaghan    36
 McNeil       45
 Thomas       57    
 Cochran      62
 Lavin        38
 McNeil       43
 Todd         39    
 Fairchild    41
 Lunny        81
 Mitchell     43
 Trickett     50    
 Finney       68
 MacColl      27
 Muir         54
 Trickett     64    
 Fisher       37
 McCusker     37
 Oban         62
 Tyson        76    
 Francey      60
 McCusker     56
 Reid         67
 Watson       63    
 Fricker      41
 McDonald     71
 Renbourn     48
 Young        29    
 Gaughan      70
 McDonald     39
 Rogers       32                
 Graham       47
 McDonald     46
 Rush         42
